league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
bresil,2025,2025-03-29,Sao Paulo,Sport Recife,0,0,0,0,D
bresil,2025,2025-03-29,Gremio,Atletico-MG,2,1,2,0,H
bresil,2025,2025-03-29,Cruzeiro,Mirassol,2,1,2,1,H
bresil,2025,2025-03-29,Juventude,Vitoria,2,0,1,0,H
bresil,2025,2025-03-29,Fortaleza EC,Fluminense,2,0,2,0,H
bresil,2025,2025-03-30,Flamengo,Internacional,1,1,0,1,D
bresil,2025,2025-03-30,Palmeiras,Botafogo,0,0,0,0,D
bresil,2025,2025-03-30,Vasco DA Gama,Santos,2,1,0,1,H
bresil,2025,2025-03-30,Bahia,Corinthians,1,1,1,0,D
bresil,2025,2025-03-31,RB Bragantino,Ceara,2,2,1,2,D
bresil,2025,2025-04-05,Ceara,Gremio,2,0,1,0,H
bresil,2025,2025-04-05,Corinthians,Vasco DA Gama,3,0,2,0,H
bresil,2025,2025-04-06,Botafogo,Juventude,2,0,1,0,H
bresil,2025,2025-04-06,Fluminense,RB Bragantino,2,1,1,0,H
bresil,2025,2025-04-06,Atletico-MG,Sao Paulo,0,0,0,0,D
bresil,2025,2025-04-06,Internacional,Cruzeiro,3,0,2,0,H
bresil,2025,2025-04-06,Sport Recife,Palmeiras,1,2,1,1,A
bresil,2025,2025-04-06,Vitoria,Flamengo,1,2,0,0,A
bresil,2025,2025-04-06,Mirassol,Fortaleza EC,1,1,0,1,D
bresil,2025,2025-04-06,Santos,Bahia,2,2,0,1,D
bresil,2025,2025-04-12,Juventude,Ceara,2,1,1,1,H
bresil,2025,2025-04-12,RB Bragantino,Botafogo,1,0,1,0,H
bresil,2025,2025-04-12,Palmeiras,Corinthians,2,0,2,0,H
bresil,2025,2025-04-13,Vasco DA Gama,Sport Recife,3,1,2,0,H
bresil,2025,2025-04-13,Bahia,Mirassol,1,1,1,1,D
bresil,2025,2025-04-13,Sao Paulo,Cruzeiro,1,1,0,0,D
bresil,2025,2025-04-13,Gremio,Flamengo,0,2,0,1,A
bresil,2025,2025-04-13,Fluminense,Santos,1,0,0,0,H
bresil,2025,2025-04-13,Fortaleza EC,Internacional,0,0,0,0,D
bresil,2025,2025-04-13,Atletico-MG,Vitoria,2,2,0,0,D
bresil,2025,2025-04-16,Ceara,Vasco DA Gama,2,1,1,0,H
bresil,2025,2025-04-16,Botafogo,Sao Paulo,2,2,1,2,D
bresil,2025,2025-04-16,Sport Recife,RB Bragantino,0,1,0,1,A
bresil,2025,2025-04-16,Mirassol,Gremio,4,1,2,0,H
bresil,2025,2025-04-16,Internacional,Palmeiras,0,1,0,0,A
bresil,2025,2025-04-16,Corinthians,Fluminense,0,2,0,0,A
bresil,2025,2025-04-17,Flamengo,Juventude,6,0,3,0,H
bresil,2025,2025-04-17,Santos,Atletico-MG,2,0,2,0,H
bresil,2025,2025-04-17,Vitoria,Fortaleza EC,2,1,1,0,H
bresil,2025,2025-04-18,Cruzeiro,Bahia,3,0,1,0,H
bresil,2025,2025-04-19,Corinthians,Sport Recife,2,1,0,1,H
bresil,2025,2025-04-19,Vasco DA Gama,Flamengo,0,0,0,0,D
bresil,2025,2025-04-20,Gremio,Internacional,1,1,1,0,D
bresil,2025,2025-04-20,Juventude,Mirassol,2,2,2,1,D
bresil,2025,2025-04-20,Sao Paulo,Santos,2,1,2,1,H
bresil,2025,2025-04-20,Atletico-MG,Botafogo,1,0,0,0,H
bresil,2025,2025-04-20,Fluminense,Vitoria,1,1,1,0,D
bresil,2025,2025-04-20,Fortaleza EC,Palmeiras,1,2,0,1,A
bresil,2025,2025-04-20,RB Bragantino,Cruzeiro,1,0,1,0,H
bresil,2025,2025-04-21,Bahia,Ceara,1,0,0,0,H
bresil,2025,2025-04-26,Internacional,Juventude,3,1,2,1,H
bresil,2025,2025-04-26,Ceara,Sao Paulo,1,1,1,1,D
bresil,2025,2025-04-26,Mirassol,Atletico-MG,2,2,1,0,D
bresil,2025,2025-04-26,Sport Recife,Fortaleza EC,0,0,0,0,D
bresil,2025,2025-04-27,Botafogo,Fluminense,2,0,1,0,H
bresil,2025,2025-04-27,Flamengo,Corinthians,4,0,3,0,H
bresil,2025,2025-04-27,Palmeiras,Bahia,0,1,0,0,A
bresil,2025,2025-04-27,Cruzeiro,Vasco DA Gama,1,0,0,0,H
bresil,2025,2025-04-27,Vitoria,Gremio,1,1,0,1,D
bresil,2025,2025-04-27,Santos,RB Bragantino,1,2,0,0,A
bresil,2025,2025-05-03,Sao Paulo,Fortaleza EC,0,0,0,0,D
bresil,2025,2025-05-03,Fluminense,Sport Recife,2,1,0,1,H
bresil,2025,2025-05-03,Ceara,Vitoria,1,0,0,0,H
bresil,2025,2025-05-03,Corinthians,Internacional,4,2,1,2,H
bresil,2025,2025-05-04,Bahia,Botafogo,1,0,1,0,H
bresil,2025,2025-05-04,Gremio,Santos,1,0,0,0,H
bresil,2025,2025-05-04,Vasco DA Gama,Palmeiras,0,1,0,0,A
bresil,2025,2025-05-04,Cruzeiro,Flamengo,2,1,1,1,H
bresil,2025,2025-05-05,RB Bragantino,Mirassol,1,0,0,0,H
bresil,2025,2025-05-05,Juventude,Atletico-MG,0,1,0,1,A
bresil,2025,2025-05-10,Fortaleza EC,Juventude,5,0,1,0,H
bresil,2025,2025-05-10,Gremio,RB Bragantino,1,1,0,0,D
bresil,2025,2025-05-10,Vitoria,Vasco DA Gama,2,1,0,1,H
bresil,2025,2025-05-10,Mirassol,Corinthians,2,1,0,1,H
bresil,2025,2025-05-11,Flamengo,Bahia,1,0,1,0,H
bresil,2025,2025-05-11,Sport Recife,Cruzeiro,0,4,0,3,A
bresil,2025,2025-05-11,Palmeiras,Sao Paulo,1,0,0,0,H
bresil,2025,2025-05-11,Atletico-MG,Fluminense,3,2,0,0,H
bresil,2025,2025-05-11,Botafogo,Internacional,4,0,2,0,H
bresil,2025,2025-05-12,Santos,Ceara,0,0,0,0,D
bresil,2025,2025-05-17,Ceara,Sport Recife,2,0,1,0,H
bresil,2025,2025-05-17,Vasco DA Gama,Fortaleza EC,3,0,1,0,H
bresil,2025,2025-05-18,Sao Paulo,Gremio,2,1,0,1,H
bresil,2025,2025-05-18,Bahia,Vitoria,2,1,1,0,H
bresil,2025,2025-05-18,Corinthians,Santos,1,0,0,0,H
bresil,2025,2025-05-18,Juventude,Fluminense,1,1,0,0,D
bresil,2025,2025-05-18,Flamengo,Botafogo,0,0,0,0,D
bresil,2025,2025-05-18,RB Bragantino,Palmeiras,1,2,1,0,A
bresil,2025,2025-05-18,Internacional,Mirassol,1,1,0,1,D
bresil,2025,2025-05-18,Cruzeiro,Atletico-MG,0,0,0,0,D
bresil,2025,2025-05-24,Fluminense,Vasco DA Gama,2,1,1,1,H
bresil,2025,2025-05-24,Sao Paulo,Mirassol,0,2,0,0,A
bresil,2025,2025-05-25,Atletico-MG,Corinthians,0,0,0,0,D
bresil,2025,2025-05-25,Gremio,Bahia,1,0,0,0,H
bresil,2025,2025-05-25,Palmeiras,Flamengo,0,2,0,0,A
bresil,2025,2025-05-25,Sport Recife,Internacional,1,1,1,0,D
bresil,2025,2025-05-25,Vitoria,Santos,0,1,0,1,A
bresil,2025,2025-05-25,Fortaleza EC,Cruzeiro,0,2,0,2,A
bresil,2025,2025-05-26,RB Bragantino,Juventude,1,0,1,0,H
bresil,2025,2025-05-31,Bahia,Sao Paulo,2,1,0,0,H
bresil,2025,2025-06-01,Vasco DA Gama,RB Bragantino,0,2,0,2,A
bresil,2025,2025-06-01,Mirassol,Sport Recife,1,0,1,0,H
bresil,2025,2025-06-01,Santos,Botafogo,0,1,0,0,A
bresil,2025,2025-06-01,Juventude,Gremio,0,2,0,2,A
bresil,2025,2025-06-01,Flamengo,Fortaleza EC,5,0,1,0,H
bresil,2025,2025-06-01,Ceara,Atletico-MG,0,1,0,0,A
bresil,2025,2025-06-01,Corinthians,Vitoria,0,0,0,0,D
bresil,2025,2025-06-01,Cruzeiro,Palmeiras,2,1,2,0,H
bresil,2025,2025-06-01,Internacional,Fluminense,0,2,0,1,A
bresil,2025,2025-06-04,Botafogo,Ceara,3,2,1,0,H
bresil,2025,2025-06-12,Vitoria,Cruzeiro,0,0,0,0,D
bresil,2025,2025-06-12,RB Bragantino,Bahia,0,3,0,2,A
bresil,2025,2025-06-12,Fortaleza EC,Santos,2,3,0,2,A
bresil,2025,2025-06-12,Gremio,Corinthians,1,1,1,1,D
bresil,2025,2025-06-13,Sao Paulo,Vasco DA Gama,1,3,0,2,A
bresil,2025,2025-06-13,Atletico-MG,Internacional,2,0,1,0,H
bresil,2025,2025-07-12,Internacional,Vitoria,1,0,0,0,H
bresil,2025,2025-07-12,Flamengo,Sao Paulo,2,0,0,0,H
bresil,2025,2025-07-12,Vasco DA Gama,Botafogo,0,2,0,0,A
bresil,2025,2025-07-13,Bahia,Atletico-MG,2,1,0,0,H
bresil,2025,2025-07-13,Corinthians,RB Bragantino,1,2,0,1,A
bresil,2025,2025-07-13,Cruzeiro,Gremio,4,1,2,0,H
bresil,2025,2025-07-13,Fortaleza EC,Ceara,0,1,0,0,A
bresil,2025,2025-07-14,Juventude,Sport Recife,2,0,1,0,H
bresil,2025,2025-07-16,Palmeiras,Mirassol,1,1,0,0,D
bresil,2025,2025-07-16,Ceara,Corinthians,0,1,0,0,A
bresil,2025,2025-07-16,Santos,Flamengo,1,0,0,0,H
bresil,2025,2025-07-17,Botafogo,Vitoria,0,0,0,0,D
bresil,2025,2025-07-17,RB Bragantino,Sao Paulo,2,2,1,1,D
bresil,2025,2025-07-17,Fluminense,Cruzeiro,0,2,0,2,A
bresil,2025,2025-07-19,Fortaleza EC,Bahia,1,1,1,0,D
bresil,2025,2025-07-19,Vasco DA Gama,Gremio,1,1,0,0,D
bresil,2025,2025-07-19,Mirassol,Santos,3,0,0,0,H
bresil,2025,2025-07-20,Sao Paulo,Corinthians,2,0,2,0,H
bresil,2025,2025-07-20,Internacional,Ceara,1,0,1,0,H
bresil,2025,2025-07-20,Cruzeiro,Juventude,4,0,1,0,H
bresil,2025,2025-07-20,Vitoria,RB Bragantino,1,0,1,0,H
bresil,2025,2025-07-20,Palmeiras,Atletico-MG,3,2,1,1,H
bresil,2025,2025-07-20,Sport Recife,Botafogo,0,1,0,0,A
bresil,2025,2025-07-20,Flamengo,Fluminense,1,0,0,0,H
bresil,2025,2025-07-23,Fluminense,Palmeiras,1,2,1,1,A
bresil,2025,2025-07-23,Ceara,Mirassol,0,2,0,2,A
bresil,2025,2025-07-23,Corinthians,Cruzeiro,0,0,0,0,D
bresil,2025,2025-07-24,Santos,Internacional,1,2,0,1,A
bresil,2025,2025-07-24,Vitoria,Sport Recife,2,2,0,0,D
bresil,2025,2025-07-24,RB Bragantino,Flamengo,1,2,0,0,A
bresil,2025,2025-07-24,Juventude,Sao Paulo,0,1,0,0,A
