league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Serie A,2025,2025-08-23,Sassuolo,Napoli,0,2,0,0,A
Serie A,2025,2025-08-23,Genoa,Lecce,0,0,0,0,D
Serie A,2025,2025-08-23,AC Milan,Cremonese,1,2,1,0,A
Serie A,2025,2025-08-23,AS Roma,Bologna,1,0,0,1,H
Serie A,2025,2025-08-24,Cagliari,Fiorentina,1,1,0,1,D
Serie A,2025,2025-08-24,Como,Lazio,2,0,0,2,H
Serie A,2025,2025-08-24,Juventus,Parma,2,0,0,2,H
Serie A,2025,2025-08-24,Atalanta,Pisa,1,1,0,1,D
Serie A,2025,2025-08-25,Udinese,Verona,1,1,0,1,D
Serie A,2025,2025-08-25,Inter,Torino,5,0,2,3,H
Serie A,2025,2025-08-29,Cremonese,Sassuolo,3,2,2,1,H
Serie A,2025,2025-08-29,Lecce,AC Milan,0,2,0,0,A
Serie A,2025,2025-08-30,Bologna,Como,1,0,0,1,H
Serie A,2025,2025-08-30,Parma,Atalanta,1,1,0,1,D
Serie A,2025,2025-08-30,Napoli,Cagliari,1,0,0,1,H
Serie A,2025,2025-08-30,Pisa,AS Roma,0,1,0,0,A
Serie A,2025,2025-08-31,Genoa,Juventus,0,1,0,0,A
Serie A,2025,2025-08-31,Torino,Fiorentina,0,0,0,0,D
Serie A,2025,2025-08-31,Lazio,Verona,4,0,3,1,H
Serie A,2025,2025-08-31,Inter,Udinese,1,2,1,0,A
